Date,Level A Allocated,Level B Allocated
15/06/2010,5300.0,2385.0
13/07/2010,4850.0,1560.0
17/08/2010,3687.0,980.0
14/09/2010,6586.0,760.0
12/10/2010,5260.0,645.0
16/11/2010,4920.0,793.0
14/12/2010,6445.0,785.0
11/01/2011,2720.0,2000.0
15/02/2011,808.0,1350.0
15/03/2011,5255.0,270.0
12/04/2011,3250.0,285.0
17/05/2011,2335.0,100.0
14/06/2011,2450.0,650.0
12/07/2011,5365.0,245.0
16/08/2011,2445.0,1636.0
13/09/2011,3245.0,1558.0
11/10/2011,6955.0,1265.0
15/11/2011,760.0,508.0
13/12/2011,830.0,718.0
10/01/2012,0.0,682.0
14/02/2012,20.0,575.0
13/03/2012,5.0,360.0
10/04/2012,200.0,235.0
15/05/2012,0.0,600.0
12/06/2012,5.0,140.0
10/07/2012,0.0,200.0
14/08/2012,0.0,290.0
11/09/2012,55.0,265.0
09/10/2012,5.0,0.0
13/11/2012,5.0,150.0
11/12/2012,10.0,0.0
08/01/2013,0.0,0.0
12/02/2013,0.0,450.0
12/03/2013,0.0,10.0
09/04/2013,0.0,5.0
14/05/2013,0.0,50.0
11/06/2013,0.0,0.0
09/07/2013,40.0,20.0
13/08/2013,0.0,70.0
10/09/2013,5.0,30.0
08/10/2013,0.0,0.0
12/11/2013,0.0,0.0
10/12/2013,55.0,0.0
07/01/2014,200.0,0.0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
