Date,Bid,Level B Allocated
6/15/2010,2385,881.7
7/13/2010,1560,862.1
8/17/2010,980,605
9/14/2010,760,560
12/10/2010,645,645
11/16/2010,793,643
12/14/2010,785,761.8
11/01/2011,2000,782.3
2/15/2011,1350,832.1
3/15/2011,270,270
12/04/2011,285,285
5/17/2011,100,25
6/14/2011,650,600
12/07/2011,245,245
8/16/2011,1636,606
9/13/2011,1558,958
11/10/2011,1265,815
11/15/2011,508,409.7
12/13/2011,718,492.7
10/01/2012,682,552.7
2/14/2012,575,300
3/13/2012,360,360
10/04/2012,235,135
5/15/2012,600,175
12/06/2012,140,0
10/07/2012,200,200
8/14/2012,290,60
11/09/2012,265,165
09/10/2012,0,0
11/13/2012,150,150
11/12/2012,0,0
08/01/2013,0,0
12/02/2013,450,270
12/03/2013,10,10
09/04/2013,5,5
5/14/2013,50,50
11/06/2013,0,0
09/07/2013,20,20
8/13/2013,70,70
10/09/2013,30,30
08/10/2013,0,0
12/11/2013,0,0
10/12/2013,0,0
07/01/2014,0,0
